"","Brand","Variety","Style","Country","Stars","Top.Ten","perc_salt"
"1292","JML","Braised Beef Noodles","Pack","China",4,"",19.9367198763653
"1293","Sau Tao","QQ Scallop Seafood Vermicelli","Bowl","Hong Kong",3.75,"",21.9368290690762
"1294","Kimura","Kumamoto Tonkotsu Ramen","Pack","Japan",5,"",19.7239978313561
"1295","Batchelors","Super Noodles Roast Beef & Onion Flavour","Pack","UK",3.25,"",20.070234471074
"1296","Lucky Me!","Supreme Chow Mein Seafood Flavor Instant Stir-Fried Noodles","Bowl","Philippines",3.25,"",18.9429400268909
"1297","Thai Kitchen","Rice Noodle Cart Sweet Citrus Ginger","Tray","USA",4.25,"",21.1617796705743
"1298","Nongshim","Oolongmen Kimchi Cup Noodle Soup Mix","Cup","South Korea",4,"",20.1195046701808
"1299","Koka","Purple Wheat Noodles Aglio Olio","Pack","Singapore",2.75,"",18.9374799478307
"1300","Tokachimen Koubou","Jet Black Sesame Oil Pork Tonkotsu","Bowl","Japan",2.25,"",17.8870368777237
"1301","Deshome","Sun Dried Noodle Chlorella Powder Noodle With Curry Sauce","Pack","Taiwan",5,"",19.8500531522432
"1302","Ko-Lee","Instant Noodles Mixed Vegetable","Pack","UK",3.5,"",21.984260254413
"1303","Ottogi","Ppushu Ppushu Noodle Snack Bulgogi Flavor","Pack","South Korea",3.25,"",20.2452574978447
"1304","Vifon","Mì Gà Tìm Chua Cay Hot & Sour Chicken Flavor Instant Noodles","Pack","Vietnam",2,"",17.2633429387589
"1305","Adabi","Mi Bandung Prawn Mee","Pack","Malaysia",4.25,"",19.1913466342372
"1306","Wu-Mu","Ramen With Stewed Pork Flavor","Pack","Taiwan",4.5,"",19.0116691343431
"1307","Wu-Mu","Shiitake Flavor Spinach Ramen","Pack","Taiwan",3.75,"",20.4011734223849
"1308","Sainsbury's","Basics Instant Noodles Chicken Curry Flavour","Pack","UK",3.25,"",19.9683189901025
"1309","Samyang Foods","Baked Noodle Spicy Grilled Beef Ramyun","Pack","South Korea",3.5,"",18.660440208942
"1310","Prima Taste","Singapore Chilli Crab La Mian","Pack","Singapore",5,"2014 #8",21.8743376480651
"1311","Ko-Lee","Instant Noodles Taste Sensations Creamy Shrimp Tom Yum Flavour","Pack","UK",5,"",17.9393188574363
"1312","Chewy","Rice Vermicelli Scallop With XO Sauce Flavour","Pack","Hong Kong",2.5,"",18.232782329382
"1313","Wu-Mu","Dried Noodle With Jah Jan Sauce","Pack","Taiwan",3.25,"",18.3440042012118
"1314","ABC","Mi Cup Rasa Soto Ayam Chicken Soto Flavour","Cup","Indonesia",3.75,"",18.624016323565
"1315","ABC","Selera Pedas Mi Goreng Cup Rasa Gulai Ayam Pedas Hot Gulai Chicken","Cup","Indonesia",4,"",19.9822181767822
"1316","ABC","Rasa Ayam Bawang Chicken Onion Flavour","Cup","Indonesia",3.75,"",19.5745300801696
"1317","ABC","Selera Pedas Mi Goreng Cup Rasa Ayam Pedas Limau Hot Chicken Lemon Flavour","Cup","Indonesia",4.25,"",19.0860927998502
"1318","Nissin","Cup Noodle Curry X Gunpla RX-78-2 Gundam","Cup","Japan",4.25,"",20.5510048018709
"1319","ABC","Mi Cup Rasa Kari Ayam Chicken Curry Flavour","Cup","Indonesia",3.75,"",21.457071370044
"1320","Eat & Go","Rasa Baso Sapi Meat Ball Mi Instan Cup","Cup","Indonesia",3.75,"",19.6381874864531
"1321","ABC","Mi Goreng Pangsit Fried Noodle With Dumpling","Pack","Indonesia",5,"",18.3877839257225
"1322","Eat & Go","Chicken Onion Mi Instan Cup","Cup","Indonesia",3.75,"",18.9064285585589
"1323","President","Mi Goreng Rasa Ayam Chicken Flavoured Fried Noodle","Pack","Indonesia",4.5,"",19.4025417533513
"1324","ABC","Mi Goreng Spesial Special Fried Noodle","Cup","Indonesia",4,"",20.9521568340248
"1325","Eat & Go","Curry Chicken Mi Instan Cup","Cup","Indonesia",4.25,"",20.2565244057006
"1326","Thai Choice","Instant Noodles Shrimp Flavour","Cup","Thailand",3.25,"",21.0872634896275
"1327","Four Seas","Sesame Oil Chicken Flavour Instant Noodle","Bowl","Hong Kong",2.75,"",19.1752357176241
"1328","Nissin","Chow Mein Teriyaki Chicken Flavor Chow Mein Noodles","Tray","USA",3.75,"",17.8060661447099
"1329","Tesco","Instant Noodles Chow Mein Flavour","Pack","UK",2.25,"",16.9327031468099
"1330","Mama","Instant Noodles Tom Saab Flavour","Pack","Thailand",3.5,"",19.8596580433118
"1331","Samyang Foods","三養라면 (Samyang Ramyun) (South Korean Version)","Bowl","South Korea",3.75,"",21.5116529788657
"1332","Nissin","Sabor A Pollo Sopa Con Fideos","Cup","Colombia",2.75,"",18.7391520566684
"1333","Wu-Mu","Beef Flavour Tomato Ramen","Pack","Taiwan",4,"",19.0866061781579
"1334","Maruchan","I Want To Eat Ramen Pork Tonkotsu Flavor","Pack","Japan",4,"",19.7731340708869
"1335","Annie Chun's","Ramen House Chicken Vegetable Flavored Ramen","Pack","USA",4,"",21.3271188082477
"1336","Sau Tao","Instant Noodle King Abalone & Chicken Flavoured","Pack","Hong Kong",3.5,"",20.4997112234309
"1337","Unif","Unif-100 Pickled Cayenne Flavor Beef Ramen","Pack","China",3.75,"",19.2503600658028
"1338","Nissin","Demae Rice Vermicelli Chicken Flavour Instant Rice Vermicelli With Soup Base","Pack","Hong Kong",1.75,"",19.6565203706473
"1339","Thai Pavilion","Garlic Chili Instant Rice Noodles & Sauce","Tray","USA",4,"",20.3883455082352
"1340","Nissin","Donbei Kansai Soy Sauce Flavor Udon","Pack","Japan",3.75,"",21.2644386895119
"1341","Maggi","Big Kari Perencah (Big Curry Flavor) 2 Minute Noodles","Pack","Malaysia",4,"",19.423115967076
"1342","SuperMi","Rasa Ayam Spesial","Pack","Indonesia",4,"",19.5803635878566
"1343","Sapporo Ichiban","Sesame Ramen","Pack","Japan",5,"",17.4681005605516
"1344","Mama","Instant Noodles Creamy Tom Yum Minced Pork Flavour","Pack","Thailand",3.5,"",21.267597767433
"1345","Emart","Dare You Habanero Ramyun","Cup","South Korea",3.25,"",19.6248670667248
"1346","Nissin","Demae Ramen Miso Tonkotsu Artificial Pork Flavor Ramen Noodle","Pack","Hong Kong",3.75,"",19.2670417649904
"1347","Sainsbury's","Barbecue Beef Flavour Instant Noodles","Pack","UK",2.75,"",19.1423337220371
"1348","Nissin","Sabor A Pollo Sopa Instantánea Con Fideos","Pack","Colombia",3.25,"",19.3535163361251
"1349","GaGa","Mie Gepeng Kuah Rasa Ayam Bawang Pedas","Pack","Indonesia",3.25,"",20.16804238542
"1350","A-Sha Dry Noodle","Instant Noodle Shallot Flavor","Pack","Taiwan",3.75,"",18.8139538214748
"1351","Saji","Sajimee Original Soto Soup Flavor","Pack","Malaysia",4,"",18.6981557625406
"1352","Kumamoto","Tonkotsu Ramen MEGA Dragon","Pack","Japan",2.5,"",18.8375354837601
"1353","Maruchan","Seimen Japanese Instant Ramen Noodles Shio Aji","Pack","Japan",3.75,"",19.8405995067741
"1354","Mr. Noodles","Chicken Kimchi Oriental Style Noodles With Soup Base","Bowl","Canada",0.5,"",8.64008737213725
"1355","Master Kong","Artificial Braised Beef Flavor Instant Noodle","Bowl","China",3.75,"",21.6668948141208
"1356","Nissin","Pan Asian Kitchen Sweet & Sour Chicken Flavor Ramen Noodles","Tray","USA",3.75,"",21.0967044815884
"1357","HoMyeonDang","Premium Noodle House Seafood Ramyun","Pack","South Korea",4,"",21.9288366520062
"1358","Sawadee","Instant Noodles Prawn Oriental Flavour","Pack","Malaysia",2.5,"",18.0638286674842
"1359","Nissin","Soba Classic Noodles With Japanese Yakisoba Sauce","Cup","Germany",3.75,"",19.1402663194392
"1360","ABC","Selera Pedas Hot Semur Chicken Flavour","Pack","Indonesia",4.5,"",19.7504354265781
"1361","Nissin","Ultraman Instant Noodle Pork Flavour","Cup","Japan",3,"",18.0380219813544
"1362","Tokyo Noodle","Mini Instant Noodle Spicy Flavor","Pack","Japan",3.5,"",18.9521690952263
"1363","Sau Tao","Ho Fan Beef Soup Flavored","Pack","China",3.75,"",21.6465615172559
"1364","Doll","Hello Kitty Dim Sum Noodle Japanese Curry Flavour","Cup","Hong Kong",3.5,"",19.4202841310152
"1365","Batchelors","Super Low Fat Noodles Chilli Chicken Flavour","Pack","UK",1,"",13.8387152833769
"1366","GaGa","Mi Instan Cup Milk Chicken Soup","Cup","Indonesia",4.75,"",20.0916698847615
"1367","Eat & Go","Rendang Beef Flavour Fried Instant Noodle","Cup","Indonesia",5,"",19.7707939744715
"1368","Nan Jie Cun","Hot -Dry Instant Noodles Chilli Flavour","Tray","China",0.5,"",8.61783217605691
"1369","Ruski","Instant Noodles Tom Yum Flavour","Pack","Thailand",3.5,"",19.0115923974534
"1370","Nissin","Demae Iccho Instant Noodle With Soup Base Artificial Chicken Flavour","Bowl","Hong Kong",3,"",20.1943328121483
"1371","A-Sha Dry Noodle","Hell Spicy Mala","Pack","Taiwan",4,"",19.5914017502997
"1372","Batchelors","Super Noodles Chicken Mushroom Flavour","Pack","UK",3.25,"",18.2592375445861
"1373","Golden Wheat","Korean Style Stew Prok Flavour Cooking Noodle","Pack","China",3.5,"",19.9080293050615
"1374","Nissin","UFO Yakisoba With Wasabi Mayonnaise","Bowl","Japan",5,"",18.8401070778604
"1375","China Best","Frozen Satay Sauce Noodle","Pack","Taiwan",1,"",12.8130451925586
"1376","Mama","Instant Noodles Pork Flavour With Black Pepper","Pack","Thailand",3.5,"",20.9031171136546
"1377","Nissin","Cup Noodles Sabor A Gallina","Cup","Colombia",3.5,"",20.1105634298832
"1378","GaGa","Mie Gepeng Kuah Rasa Soto Cabe Hijau","Pack","Indonesia",3.5,"",18.6567106905355
"1379","Sugakiya Foods","Udon Miso Stew","Pack","Japan",3.25,"",19.1785101780053
"1380","A-Sha Dry Noodle","Instant Noodle Curry Flavour","Pack","Taiwan",4.25,"",21.9287307469305
"1381","Men-Sunaoshi","Tonkotsu Ramen","Pack","Japan",3.75,"",19.4726384611412
"1382","Mama","Instant Noodles Chicken Green Curry Flavour","Pack","Thailand",3.75,"",19.0531626447931
"1383","Samyang Foods","Maesaengyitangmyun Baked Noodle","Pack","South Korea",5,"2014 #5",17.8482148140533
"1384","Nissin","Cup Noodle Chilli Tomato","Cup","Japan",4.5,"",19.6574576700095
"1385","Nissin","Bowl Noodles Chicken Flavor","Bowl","USA",3.5,"",18.9857863020558
"1386","Sawadee","Instant Noodles Spicy Tomato Flavour","Pack","Malaysia",2.5,"",17.1652309973122
"1387","Paldo","Namja Ramyun (US Version)","Bowl","South Korea",4,"",19.5489924851531
"1388","Nissin","Soba Curry Noodles With Japanese Yakisoba Sauce","Cup","Germany",3.75,"",19.8232981192556
"1389","Wu-Mu","Ramen With Simmered Pork Flavor","Pack","Taiwan",3.75,"",19.2743014699499
"1390","GaGa","Seribu 1000 Goreng Spesial","Pack","Indonesia",4,"",19.4328163769056
"1391","Sanrio","Hello Kitty Hakata Shoyutonkotsu Ramen","Bowl","Japan",3.75,"",19.7175762012227
"1392","Acecook","Comet Mori Yukino Tan-tan men","Bowl","Japan",5,"",18.7840985756327
"1393","Chencun","Braised Pork Ribs","Cup","China",3,"",17.8902506307177
"1394","Nongshim","Shin Ramyun Cup","Cup","South Korea",3.5,"",17.8405250877912
"1395","Nissin","Sabor A Carne Sopa Instantánea Con Fideos","Pack","Colombia",3.75,"",19.6169441555101
"1396","Sainsbury's","Basics Instant Noodles Chicken Flavour","Pack","UK",3.25,"",17.5247486674895
"1397","Sapporo Ichiban","Pokemon Shoyu Ramen","Cup","Japan",3.5,"",20.1254570882127
"1398","Paldo","Cheese Noodle","Pack","South Korea",5,"2014 #6",18.485910982557
"1399","Ko-Lee","Go Noodles Xtreme Hot & Spicy Flavour","Pack","UK",3.75,"",18.5683268009388
"1400","Samyang Foods","Star Popeye Ramyun Snack","Pack","South Korea",4,"",19.861757031199
"1401","Wei Lih","What’s That? Leisure Meatballs Spicy Chicken Flavor","Pack","Taiwan",3.75,"",20.418888151084
"1402","Myojo","Chukazanmai Guangdong Style Ramen","Pack","Japan",4.25,"",19.3255318311165
"1403","Nongshim","Shin Black Spicy Pot-au-feu Flavor Premium Noodle Soup","Cup","USA",5,"",17.0278436733097
"1404","ABC","Mi ABC Rasa Ayam Bawang (Onion Chicken)","Pack","Indonesia",4,"",18.6381128966182
"1405","Maruchan","Old Style Shio Ramen","Pack","Japan",3.5,"",18.6032505898294
"1406","Healtimie","Green Barley Noodle Milk Chicken Soup","Pack","Indonesia",4.25,"",18.9046241699919
"1407","Itomen","Crab Flavor Instant Ramen","Pack","Japan",4,"",19.0807289661908
"1408","Pop Bihun","Spesial Goreng Special","Pack","Indonesia",3.5,"",19.6899601363393
"1409","Koyo","Seaweed Ramen Made With Organic Noodles","Pack","USA",2.75,"",18.0077543216267
"1410","Tiger Tiger","Traveller's Choice Indian Tikka Masala Flavour","Pack","UK",3,"",18.8061188550391
"1411","Acecook","Jan Jan Yakisoba","Cup","Japan",3.75,"",20.0314297360324
"1412","Mr. Noodles","Noodles In A Cup Beef Simulated Flavour","Cup","Canada",1.75,"",16.3695363643277
"1413","Nissin","Donbei Curry Udon (West Japanese)","Bowl","Japan",3.25,"",20.3085486849849
"1414","Kabuto Noodles","Miso Ramen","Cup","UK",3.75,"",19.1486797468332
"1415","Unif","Man Han Feast Sichuan Chilli Eel Flavor","Bowl","Taiwan",5,"",18.2078220680461
"1416","Nissin","Chow Mein With Shrimp Chow Mein Noodles","Tray","USA",3.75,"",19.8336021301656
"1417","Mr. Noodles","Bowl Chicken Simulated Flavour","Bowl","Canada",2,"",16.1279620359076
"1418","Chewy","Rice Vermicelli Spicy Beef With Chilli Flavour","Pack","China",3.25,"",21.7608883169579
"1419","Nissin","Chanpon Ramen","Pack","Japan",4.75,"",20.0975425681167
"1420","GaGa","100 Green Chilli Soto Flavour","Pack","Indonesia",3.75,"",20.5216078540969
"1421","Samyang Foods","Chacharoni","Pack","South Korea",3.75,"",20.6905878630095
"1422","Peyang","Yakisoba","Tray","Japan",5,"",17.7252157138755
"1423","Nissin","Demae Iccho XO Sauce Seafood Flavour","Bowl","Hong Kong",4,"",20.1675976287669
"1424","Golden Wonder","The Nation's Noodle Beef & Tomato Flavour","Cup","UK",4.25,"",19.3587503060667
"1425","Vifon","Oriental Style Instant Vermicelli Sour Crab Flavour Soup","Pack","Vietnam",3.75,"",18.7849916185375
"1426","Komforte Chockolates","Savory Ramen ","Bar","USA",5,"",19.0975170107372
"1427","Golden Wheat","Korean Style Shrimp Flavour Cooking Noodle","Pack","China",3.5,"",21.8005374965982
"1428","Wu-Mu","Spicy Flavor Tomato Ramen","Pack","Taiwan",4,"",20.3893643535849
"1429","Sapporo Ichiban","Tomato & Basil Shio Ramen","Pack","Japan",4,"",21.1325221946797
"1430","Asian Thai Foods","Fatafat Vegetable Flavor","Pack","Nepal",3.75,"",20.7454764281745
"1431","Asian Thai Foods","Krrish Instant Noodles Chicken Flavor","Pack","Nepal",3.5,"",19.3950224425033
"1432","Asian Thai Foods","Preeti Instant Noodles Chicken Soup Base","Pack","Nepal",3.5,"",19.8297543427932
"1433","Asian Thai Foods","Miteri Instant Noodles Vegetable Flavor","Pack","Nepal",3.5,"",21.4474895025441
"1434","Asian Thai Foods","Rumpum Chicken Soup Base","Pack","Nepal",3.5,"",20.7646465497402
"1435","Asian Thai Foods","2pm Precooked Noodles Chicken Curry Delight","Pack","Nepal",3.5,"",20.9725359639523
"1436","Asian Thai Foods","Fatafat Chicken Flavor","Pack","Nepal",3.75,"",21.4451946574192
"1437","Asian Thai Foods","Krrish Instant Noodles Vegetable Curry Flavor","Pack","Nepal",3.5,"",20.1017779899721
"1438","Asian Thai Foods","Rumpum Vegetable Soup Base","Pack","Nepal",4.25,"",21.326798454865
"1439","Asian Thai Foods","Miteri Instant Noodles Chicken Flavor","Pack","Nepal",4,"",20.9345427099202
"1440","Asian Thai Foods","Joker Ready To Eat Noodles","Pack","Nepal",3.25,"",19.1919822629033
"1441","Asian Thai Foods","Preeti Instant Noodles Veg Soup Base","Pack","Nepal",5,"",17.0203566926324
"1442","Asian Thai Foods","Gaurav Chicken Seasoning","Pack","Nepal",3.75,"",21.0239446083475
"1443","Tablemark","Downtown Ramen Shop Shoyu","Pack","Japan",4.75,"",19.5207742004055
"1444","Koka","Oriental Style Instant Noodles Crab Flavour","Pack","Singapore",3.75,"",20.0557764850497
"1445","Nissin","Yakisoba","Pack","Japan",5,"",19.8257492389357
"1446","Indomie","Instant Noodle Beef & Lime Flavour","Pack","Indonesia",4.25,"",19.6518921116763
"1447","Hi-Myon","Katsuo Udon","Pack","South Korea",4,"",18.4436002107523
"1448","Kamfen","E-Men Noodles Abalone Soup Flavor","Pack","Hong Kong",3.75,"",19.8555982609973
"1449","Tesco","Everyday Value Spicy Curry Flavour Noodles","Cup","UK",1.5,"",15.4122655423318
"1450","Wei Lih","What’s That? Leisure Meatballs Chicken Flavor","Pack","Taiwan",3.75,"",20.738395443373
"1451","Nissin","Big Cup Noodles Habanero Lime Shrimp Flavor Ramen Noodle Soup","Cup","USA",3.5,"",18.3770666854928
"1452","Oyatsu","Baby Star Ramen Round Chikinmini","Pack","Japan",3.5,"",21.271846936167
"1453","Lucky Me!","Special Instant Pancit Bihon With Kalamansi","Pack","Philippines",3.25,"",21.3108077181324
"1454","Campbell's","Hearty Noodles Chicken Flavour","Cup","Canada",2.75,"",19.0016624597826
"1455","GaGa","Mie Jepeng Goreng Rasa Ayam Lada Hitam","Pack","Indonesia",4,"",20.1747202226548
"1456","Myojo","Japanese Style Noodles Shio Flavor","Pack","USA",5,"",19.6133458580393
"1457","Samyang Foods","Ganjjampong","Bowl","South Korea",4.25,"",20.1708158080403
"1458","Maruchan","Fresh Yaki-Soba Stir Fry Noodles With Seasoning Sauce Base","Pack","Japan",4.25,"",20.4912501194654
"1459","Nagao Noodle","Ramen Kamen Thasos Galle Pork Bone","Pack","Japan",4.25,"",18.3436520026245
"1460","Sau Tao","Oat Noodle Sesame Oil Flavored","Pack","China",3.75,"",18.4565861449957
"1461","ABC","Selera Pedas Mi Rebus Hot Gulai Flavor","Pack","Indonesia",4.75,"",19.2789468625843
"1462","Ko-Lee","Taste Sensation Instant Noodles Curry Flavour","Pack","UK",3.75,"",20.7072807098308
"1463","Mr. Noodles","Kimchi Bowl Noodles Oriental Noodle With Soup Base","Bowl","Canada",2.75,"",18.6418225772533
"1464","Thai Pavilion","spicy Pad Thai Instant Noodles & Sauce","Tray","USA",4.25,"",17.8041633668408
"1465","Tokyo Noodle","Mini Instant Noodles Artificial Chicken Flavor","Pack","Japan",5,"",17.9652462987095
"1466","Nissin","Pan Asian Kitchen Sukiyaki Beef Flavor Savory Soy Sauce Ramen Noodles","Tray","USA",3.75,"",19.0073233252142
"1467","Maitri","Vegetarian Fried Noodles (Mie Goreng)","Pack","Indonesia",4,"",21.4202873272672
"1468","Samyang Foods","Samyang Ramyun (SK Version)","Cup","South Korea",3.5,"",18.6342802180886
"1469","Mama","Oriental Style Instant Kua-Chap Clear Soup","Pack","Thailand",3.75,"",19.3618396517111
"1470","Golden Wheat","Korean Style Stew Beef Cooking Noodle","Pack","China",3.25,"",17.8684807513366
"1471","GS25","Gonghwachun Jjajangmyun","Pack","South Korea",4.5,"",18.9454457943423
"1472","La Fonte","Spaghetti With Bolognese Sauce","Box","Indonesia",4.25,"",20.3823811490815
"1473","Chencun","Spicy Beef","Cup","China",3.5,"",19.8400979080443
"1474","Nissin","Demae Ramen Kimchi Flavour Instant Noodle With Soup Base","Bowl","Hong Kong",3.5,"",18.7959910984672
"1475","Nissin","Raoh Rich Soy Sauce With Roast Pork (2 Slices)","Bowl","Japan",4.5,"",19.7379057924023
"1476","Nongshim","Doong Ji Authentic Korean Cold Noodles With Chili Sauce","Tray","South Korea",5,"",17.8341658688099
"1477","Western Family","Instant Noodles Chicken Flavour","Pack","Canada",3.5,"",21.3184844479901
"1478","Myojo","Ippei-chan Yomise No Yakisoba Teriyaki Mayo Flavor","Tray","Japan",5,"",19.3628528237144
"1479","Batchelors","Super Noodles Mild Mexican Chilli","Pack","UK",3,"",19.0504445475169
"1480","Eat & Go","Spicy Chicken Mi Instan Cup","Cup","Indonesia",4.25,"",18.324142437782
"1481","Baltix","Instant Noodles With Chicken Flavour Broth","Pack","Estonia",3.75,"",20.1975090249185
"1482","Baltix","Instant Noodles With Beef Flavour Broth","Pack","Estonia",3.25,"",20.0083051390705
"1483","Tropicana Slim","Low Fat Noodles Hainan Chicken","Pack","Indonesia",3.75,"",18.3721262800664
"1484","Amianda","Homely Dried Noodles - Sesame Pate","Pack","Taiwan",3.75,"",20.4172574504176
"1485","Amianda","Tachia Noodles - Hot & Spicy Sauce","Pack","Taiwan",3.5,"",19.3798856171615
"1486","Amianda","Tachia Dried Noodles - Fried Shallot","Pack","Taiwan",3.25,"",20.3627293036616
"1487","Amianda","Thin Noodles - Sesame Oil","Pack","Taiwan",4.25,"",20.1338806227284
"1488","Amianda","Hakka Flat Noodles - Satay Sauce","Pack","Taiwan",4.5,"",20.0103101657013
"1489","Amianda","Tachia Dried Noodles - Rou Zhou Meat Sauce","Pack","Taiwan",5,"",19.032472720155
"1490","Amianda","Homely Dried Noodles - Original Flavor ","Pack","Taiwan",4,"",21.6645833450048
"1491","Amianda","Dried Noodles - Spicy Sauerkraut","Pack","Taiwan",3.25,"",19.9465689647742
"1492","Amianda","Hakka Flat Noodles - Fried Bean Sauce","Pack","Taiwan",4.25,"",20.1370134261379
"1493","Amianda","Tachia Dried Noodles - Peppery","Pack","Taiwan",3.75,"",19.0849023982899
"1494","MyKuali","Penang White Curry Noodle","Pack","Malaysia",5,"2014 #1",18.4839449971499
"1495","Sawadee","Indian Curry Flavour","Pack","UK",3,"",20.7784418897682
"1496","Vina Acecook","Hao Hao Mi Goreng Shrimp & Onion Flavour","Pack","Vietnam",3.5,"",19.8539611691791
"1497","Mr. Noodles","Noodles In A Cup Chicken Simulated Flavour","Cup","Canada",1.5,"",14.1996775728612
"1498","Nissin","GooTa Demi Hamburg-Men","Cup","Japan",4.75,"",19.5700505646889
"1499","Indomie","Mi Goreng Cabe Ijo","Pack","Indonesia",4.5,"",18.706934217392
"1500","Deshome","Aloe Noodle Sesame Sauce","Pack","Taiwan",3.25,"",19.2916297579256
"1501","Deshome","Black Eyed Beans Noodle Basil Sauce & Sesame Sauce","Pack","Taiwan",3.5,"",20.273745350927
"1502","Deshome","Aloe Noodle Vegetable Sauce","Pack","Taiwan",5,"",17.6264821979564
"1503","Deshome","Black Eyed Beans Noodle Spicy Soybean Sauce & Sesame Sauce","Pack","Taiwan",3.75,"",19.0500640233216
"1504","Deshome","Aloe Noodle Red Onion & Sesame Sauce","Pack","Taiwan",5,"",16.8649878398215
"1505","Deshome","Black Eyed Beans Noodle Vegetable Sauce & Sesame Sauce","Pack","Taiwan",3.75,"",19.1189320570331
"1506","Deshome","Aloe Noodle With Basil Sauce","Pack","Taiwan",5,"",17.5944483294394
"1507","Deshome","Pollen Noodles Sesame Sauce & Soy Sauce","Pack","Taiwan",4.25,"",20.3103800414161
"1508","Deshome","Black Eyed Bean Noodle Red Onion Sauce & Sesame Sauce","Pack","Taiwan",3.75,"",19.9677776049974
"1509","Deshome","Aloe Noodle With Spicy Soybean Sauce","Pack","Taiwan",4,"",18.167555990114
"1510","Nissin","Raoh Soy Sauce Taste","Pack","Japan",4,"",20.338994974782
"1511","HoMyeonDang","Premium Noodle House Pork & Seafood Flavor","Pack","South Korea",4,"",19.5170660706381
"1512","Nissin","Raoh Rich Miso Flavor","Bowl","Japan",5,"",19.4714850243972
"1513","Koka","Oriental Instant Noodles Stir Fried Noodles","Pack","Singapore",3.75,"",19.5927366989061
"1514","Nissin","Cup Noodle Red Shock","Cup","Japan",3.75,"",21.1094420152538
"1515","Tasty Bite","1 Step-1 Minute Asian Noodles Pad Thai","Pack","USA",3.5,"",18.7499688893844
"1516","Tasty Bite","1 Step-1 Minute Asian Noodles Kung Pao","Pack","USA",4.25,"",20.0079773619585
"1517","Tasty Bite","1 Step-1 Minute Asian Noodles Mushroom Lo Mein","Pack","USA",4,"",20.4880786792122
"1518","Tasty Bite","1 Step-1 Minute Asian Noodles Thai Basil","Pack","USA",3.75,"",21.1598145472572
"1519","Tasty Bite","1 Step-1 Minute Asian Noodles Lemongrass Ginger","Pack","USA",3.75,"",20.2784048153365
"1520","Tasty Bite","1 Step-1 Minute Asian Noodles Toasted Sesame","Pack","USA",4,"",21.3265338082273
"1521","Star Anise Foods","Happy Pho Vietnamese Brown Rice Noodle Soup Garlic Goodness","Pack","USA",3.75,"",20.0999853498328
"1522","Mamee","Oriental Noodles Curry Flavour","Pack","Malaysia",3.25,"",18.6678378135626
"1523","A-Sha Dry Noodle","Dry Noodle Mandarin Noodle - Original Sauce","Pack","Taiwan",4,"",19.3377315530769
"1524","A-Sha Dry Noodle","Dry Noodle Hakka Noodle - Spicy Sesame Oil Sauce","Pack","Taiwan",3.5,"",20.8844928992069
"1525","A-Sha Dry Noodle","Dry Noodle Mandarin Noodle - Onion Oil Sauce","Pack","Taiwan",5,"",20.4669512824499
"1526","A-Sha Dry Noodle","Dry Noodle QQ Thin Noodle - BBQ Sauce","Pack","Taiwan",5,"",18.8252725547209
"1527","A-Sha Dry Noodle","No. 10 Mandarin Noodle - Black Pepper Sauce","Pack","Taiwan",3.75,"",20.7272270223939
"1528","A-Sha Dry Noodle","Dry Noodle Tainan Noodle - Sesame Sauce","Pack","Taiwan",4,"",19.0645682409362
"1529","A-Sha Dry Noodle","Dry Noodle Hakka Noodle - Chili Sauce","Pack","Taiwan",4.25,"",19.3021523066178
"1530","Maruchan","Seimen Japanese Instant Ramen Noodles Soy Sauce Taste","Pack","Japan",3.75,"",19.1086772136104
"1531","Knorr","Japanese Pork Bone Flavour Quick Serve Macaroni","Pack","Hong Kong",3,"",19.2206215154605
"1532","Mr. Noodles","Bowl Beef Simulated Flavor","Bowl","Canada",2,"",15.9195343508837
"1533","Ottogi","Cheese Bokki","Cup","South Korea",3.5,"",19.7939933426532
"1534","New Touch","Yakisoba Noodle","Tray","Japan",4,"",20.7978980153034
"1535","Myojo","Stir Fry Noodles Japanese Style Noodles With Sauce","Pack","USA",4,"",18.3991055302941
"1536","Nissin","Chow Mein Chicken","Tray","USA",3.5,"",20.3339466484174
"1537","Nongshim","Shin Ramyun Noodle Spicy Mushroom","Bowl","China",3.25,"",19.7545008490832
"1538","Chewy","Rice Vermicelli Satay Chicken","Pack","China",3,"",20.0612983762991
"1539","Nongshim","Potato Pork Ramyun","Pack","China",5,"",19.8237354960599
"1540","Ko-Lee","Instant Noodles Super Chow Mein","Pack","UK",4,"",19.413190414423
"1541","Western Family","Instant Noodles Vegetable Flavour","Pack","Canada",1,"",10.9999754102597
"1542","Maruchan","Bowl Hot & Spicy Shrimp Flavor Ramen Noodles With Vegetables","Bowl","USA",4.25,"",21.2356063802846
"1543","Itomen","Chanponmen","Pack","Japan",4.25,"",21.1089734155595
"1544","Emart","Dare You Habanero Jjamppong","Pack","South Korea",4,"",20.1430275928512
"1545","Golden Wheat","Korean Style Spicy Shrimp Noodle Soup","Bowl","China",3.5,"",20.3764377346376
"1546","Wei Lih","Spicy Sichuan Flavor Instant Noodle","Bowl","Taiwan",3.5,"",20.1035666343284
"1547","Western Family","Instant Noodles In A Cup Spicy Chicken","Cup","Canada",2.25,"",18.7251827168024
"1548","Nissin","King Cup Noodle BBQ Chicken & Onion","Cup","Japan",3.75,"",21.0230439491908
"1549","Mama","Authentic Thai Cuisine Pad Thai","Pack","Thailand",4,"",21.807004852192
